iter	Logloss
0	0.6871745001
1	0.6814761376
2	0.6760760785
3	0.6712759489
4	0.6666331882
5	0.6626602278
6	0.6583661758
7	0.6540515415
8	0.6505709994
9	0.6466719556
10	0.6434224356
11	0.640292489
12	0.6372750185
13	0.6346364992
14	0.6320254936
15	0.6295250157
16	0.6272350129
17	0.6248746333
18	0.6230706872
19	0.6210284329
20	0.6188979776
21	0.6170384194
22	0.6151776252
23	0.6136051031
24	0.6118080643
25	0.6102374301
26	0.608689705
27	0.607214356
28	0.6057028864
29	0.6043540078
30	0.6030500408
31	0.6017935885
32	0.6007217405
33	0.599601707
34	0.5985065796
35	0.5975136251
36	0.5964087277
37	0.5952573283
38	0.5943218788
39	0.5932474984
40	0.5923594585
41	0.5915828641
42	0.5906235787
43	0.5898303253
44	0.5890139099
45	0.588240189
46	0.5873980544
47	0.5867836373
48	0.5859051518
49	0.5850465039
50	0.5842685603
51	0.5835743909
52	0.5831232857
53	0.5825247696
54	0.5818398077
55	0.5810288606
56	0.5803470749
57	0.5796194258
58	0.5789529124
59	0.5782798866
60	0.5778548845
61	0.5774898714
62	0.5769165154
63	0.5763107764
64	0.5757347152
65	0.5752969613
66	0.5748200084
67	0.5742476544
68	0.573718738
69	0.5731999574
70	0.572705278
71	0.5722527286
72	0.5717398713
73	0.5712350674
74	0.5707918991
75	0.5702052843
76	0.5698524797
77	0.5694558072
78	0.5689661613
79	0.5684951952
80	0.5681330462
81	0.567708064
82	0.5673362177
83	0.5670595356
84	0.5667047523
85	0.5662291735
86	0.5658067187
87	0.5652739087
88	0.5650269786
89	0.5644404719
90	0.5640535976
91	0.5636298397
92	0.5632438792
93	0.562915732
94	0.562476383
95	0.5621205473
96	0.5618620901
97	0.5614791924
98	0.5610843295
99	0.5607879416
100	0.560275763
101	0.5597907021
102	0.5595277119
103	0.5591933039
104	0.5589220751
105	0.5583681662
106	0.5580010259
107	0.557628573
108	0.5572042849
109	0.5568140563
110	0.5565105463
111	0.5562047912
112	0.5558024872
113	0.5555391791
114	0.5551218488
115	0.5548156417
116	0.5544192662
117	0.554074962
118	0.5536753479
119	0.553391299
120	0.5529457207
121	0.5526230764
122	0.5523413264
123	0.5520769981
124	0.5517109835
125	0.5512630395
126	0.5508810326
127	0.5504779305
128	0.5500365178
129	0.5497393762
130	0.5493868677
131	0.5490286219
132	0.5486079052
133	0.5482763562
134	0.5479587332
135	0.5475889085
136	0.5472101228
137	0.5466948927
138	0.5460985482
139	0.5457954979
140	0.5455645767
141	0.5452406276
142	0.5448427772
143	0.5445632221
144	0.5442129973
