iter	Passed	Remaining
0	12	12694
1	14	7223
2	16	5378
3	17	4453
4	19	3907
5	21	3548
6	23	3279
7	24	3081
8	26	2920
9	28	2796
10	29	2690
11	31	2601
12	33	2525
13	34	2457
14	36	2399
15	38	2352
16	39	2306
17	41	2262
18	43	2228
19	44	2194
20	46	2164
21	48	2142
22	49	2120
23	51	2102
24	53	2081
25	55	2065
26	56	2049
27	58	2034
28	60	2018
29	61	2003
30	63	1987
31	65	1974
32	67	1965
33	68	1954
34	70	1944
35	72	1933
36	73	1923
37	75	1913
38	77	1903
39	78	1893
40	80	1888
41	82	1881
42	84	1873
43	85	1865
44	87	1858
45	89	1851
46	90	1843
47	92	1836
48	94	1831
49	96	1826
50	97	1820
51	99	1815
52	101	1809
53	102	1802
54	104	1797
55	106	1792
56	108	1787
57	109	1782
58	111	1778
59	113	1775
60	115	1770
61	116	1765
62	118	1762
63	120	1758
64	121	1753
65	123	1750
66	125	1746
67	127	1742
68	128	1738
69	130	1733
70	132	1730
71	134	1727
72	135	1723
73	137	1719
74	139	1715
75	140	1712
76	142	1709
77	144	1705
78	145	1701
79	147	1697
80	149	1693
81	150	1690
82	152	1686
83	154	1683
84	156	1679
85	157	1676
86	159	1674
87	161	1671
88	162	1668
89	164	1664
90	166	1661
91	168	1658
92	169	1654
93	171	1652
94	173	1649
95	174	1645
96	176	1643
97	178	1640
98	179	1637
99	181	1634
100	183	1632
101	185	1629
102	186	1626
103	188	1623
104	190	1621
105	191	1618
106	193	1615
107	195	1612
108	196	1609
109	198	1607
110	200	1604
111	202	1602
112	203	1599
113	205	1596
114	207	1593
115	208	1591
116	210	1589
117	212	1587
118	214	1585
119	216	1584
120	217	1582
121	219	1580
122	221	1579
123	223	1577
124	225	1575
125	226	1573
126	228	1571
127	230	1570
128	232	1568
129	234	1566
130	235	1564
131	237	1562
132	239	1560
133	241	1558
134	242	1555
135	244	1553
136	246	1550
137	247	1548
138	249	1545
139	251	1543
140	252	1540
141	254	1538
142	256	1536
143	257	1533
144	259	1531
145	261	1528
146	263	1526
147	264	1523
148	266	1521
149	268	1519
150	269	1516
151	271	1514
152	273	1511
153	274	1509
154	276	1507
155	278	1504
156	279	1502
157	281	1500
158	283	1497
159	284	1494
160	286	1492
161	288	1490
162	289	1488
163	291	1486
164	293	1484
165	295	1482
166	296	1480
167	298	1477
168	300	1475
169	301	1473
170	303	1471
171	305	1469
172	306	1466
173	308	1464
174	310	1462
175	311	1460
176	313	1457
177	315	1455
178	316	1453
179	318	1451
180	320	1448
181	321	1446
182	323	1444
183	325	1442
184	327	1440
185	328	1438
186	330	1436
187	332	1434
188	333	1433
189	335	1431
190	337	1429
191	339	1428
192	341	1426
193	343	1425
194	344	1423
195	346	1421
196	348	1420
197	350	1418
198	352	1417
199	353	1415
200	355	1413
201	357	1412
202	362	1424
203	364	1423
204	366	1422
205	368	1420
206	370	1418
207	372	1417
208	373	1415
209	375	1413
210	377	1410
211	378	1408
212	380	1406
213	382	1404
214	383	1401
215	385	1399
216	387	1397
217	388	1395
218	390	1393
219	392	1390
220	393	1388
221	395	1386
222	397	1384
223	399	1382
224	400	1380
225	402	1378
226	404	1375
227	405	1373
228	407	1371
229	409	1369
230	410	1367
231	412	1365
232	414	1363
233	415	1361
234	417	1359
235	419	1357
236	421	1355
237	422	1353
238	424	1351
239	426	1349
240	427	1347
241	429	1345
242	431	1342
243	432	1341
244	434	1338
245	436	1337
246	437	1334
247	439	1333
248	441	1331
249	443	1329
250	444	1327
251	446	1324
252	447	1322
253	449	1320
254	451	1318
255	452	1316
256	454	1314
257	456	1312
258	458	1310
259	459	1308
260	461	1306
261	463	1304
262	464	1302
263	466	1300
264	467	1297
265	469	1296
266	471	1294
267	473	1292
268	475	1290
269	476	1288
270	478	1286
271	480	1284
272	481	1282
273	483	1281
274	485	1279
275	486	1277
276	488	1275
277	490	1273
278	492	1271
279	493	1269
280	495	1267
281	496	1265
282	498	1263
283	500	1261
284	502	1259
285	503	1257
286	505	1255
287	507	1253
288	508	1251
289	510	1249
290	512	1247
291	513	1245
292	515	1243
293	517	1241
294	518	1239
295	520	1238
296	522	1236
297	524	1234
298	525	1232
299	527	1230
300	529	1228
301	530	1226
302	532	1224
303	534	1222
304	535	1221
305	537	1219
306	539	1217
307	540	1215
308	542	1213
309	544	1211
310	545	1209
311	547	1207
312	549	1205
313	550	1203
314	552	1201
315	554	1199
316	556	1198
317	557	1196
318	559	1194
319	561	1192
320	562	1190
321	564	1188
322	566	1186
323	567	1184
324	569	1182
325	571	1180
326	572	1179
327	574	1177
328	576	1175
329	578	1174
330	579	1172
331	581	1170
332	583	1168
333	585	1166
334	586	1164
335	588	1162
336	590	1160
337	591	1159
338	593	1157
339	595	1155
340	596	1153
341	598	1151
342	600	1149
343	602	1148
344	603	1146
345	605	1144
346	607	1142
347	608	1140
